steering,acceleration,sensor_hit_0,sensor_hit_1,sensor_hit_2,sensor_hit_3,sensor_hit_4,sensor_hit_5,sensor_hit_6,sensor_hit_7,sensor_hit_8,sensor_hit_distance_0,sensor_hit_distance_1,sensor_hit_distance_2,sensor_hit_distance_3,sensor_hit_distance_4,sensor_hit_distance_5,sensor_hit_distance_6,sensor_hit_distance_7,sensor_hit_distance_8,velocity
1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.428643227,4.994693756,6.854398251,4.536980629,4.40831852,8.168093681,5.17910099,6.451978207
0,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.426894665,5.002052784,6.87253809,4.529988289,4.398068428,8.152489662,5.179203033,6.561633587
0,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.432676792,5.014276028,6.873251438,4.517398357,4.385845184,8.147624016,5.170678616,6.561633587
1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.417369366,5.017664433,6.920583248,4.515290737,4.375914574,8.112112045,5.180186749,6.686772346
1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.389027119,5.020689011,7.011135101,4.514956474,4.36130619,8.050350189,5.199928284,6.810313225
1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.338961124,5.017321587,7.164366722,4.526245594,4.345525742,7.951870918,5.240901947,6.810313225
1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.296512604,5.013023376,7.299956322,4.538934708,4.334194183,7.870515823,5.278454781,6.924352169
1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.231412411,5.004826069,7.548181057,4.561874866,4.319494724,7.74333334,5.343623638,6.924352169
0,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.191460609,5.002667427,7.727507591,4.575022221,4.307764053,7.663383961,5.391510963,7.026661873
0,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.15834856,5.003433228,7.893383026,4.584779263,4.295506954,7.595531464,5.433306217,7.026661873
-1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.142459393,5.007934093,8.009278297,4.586639404,4.284733772,7.559739113,5.454502106,7.126785755
-1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.993801117,6.133403778,5.018120289,8.114866257,4.582079411,4.269367695,7.533222198,5.467767715,7.126785755
1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.934512138,6.12207222,5.0242033,8.218297005,4.581558228,4.258415222,7.505549908,5.483965397,7.224509239
1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.814610481,6.09085989,5.025688648,8.442775726,4.59235096,4.24721384,7.441929817,5.527987957,7.224509239
0,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.712265968,6.064702511,5.027993679,8.689525604,4.605939865,4.23706913,7.38817358,5.566501617,7.335330963
0,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.642831802,6.049721241,5.033551693,8.868816376,4.612115383,4.227077484,7.354964256,5.594902515,7.335330963
1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.589022636,6.037905693,5.037684441,9.023109436,4.617267609,4.219559669,7.329007626,5.618888855,7.44470644
1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.47051239,6.003904819,5.036226273,9.440610886,4.63881731,4.213011265,7.263712883,5.681437492,7.44470644
1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.382523537,5.978588104,5.035335541,9.836375237,4.655479908,4.208239555,7.215154171,5.729851246,7.44470644
